token	token_ids	count
accomplishments	17571	3
accord	15802	1
accordance	10388	1
according	2429	67
accordingly	11914	6
account	4070	10
accountant	17907	1
accounted	14729	2
accounts	6115	6
accuracy	10640	2
accurate	8321	8
accurately	14125	2
accusations	13519	3
accuse	26960	2
accused	5496	9
accusing	16723	1
achieve	6162	5
achieved	4719	7
achievement	6344	2
achievements	10106	3
achieving	10910	5
acid	5648	3
acidic	24171	1
acknowledged	8969	2
acknowledging	21894	1
acoustic	6490	4
acquaintances	29409	1
acquainted	19056	1
acquire	9878	3
acquired	3734	8
acquiring	13868	2
acquitted	18538	3
acre	7456	3
acres	4631	8
across	2408	71
act	2552	25
acted	6051	4
acting	3772	11
action	2895	53
actions	4506	12
activated	8878	1
active	3161	25
actively	8851	1
activism	16841	2
activist	7423	1
activists	10134	1
activities	3450	12
activity	4023	18
actors	5889	19
acts	4490	4
actual	5025	6
actually	2941	16
acute	11325	1
ad	4748	14
adapt	15581	4
adaptation	6789	1
adaptations	17241	2
adapted	5967	23
add	5587	7
added	2794	42
addiction	13449	1
adding	5815	9
addition	2804	45
additional	3176	28
additionally	5678	13
additions	13134	2
address	4769	3
addressed	8280	7
addressing	12786	1
adds	9909	3
adept	26398	1
adequate	11706	3
adequately	23613	1
adherence	29235	1
adherents	25712	2
adjacent	5516	4
adjoining	13562	1
adjusting	19158	1
adjustments	24081	3
adjutant	20690	2
administered	8564	6
administration	3447	15
administrations	27722	1
administrative	3831	6
administrator	8911	1
admiration	17005	3
admired	12749	1
admission	9634	2
admissions	20247	1
admits	14456	3
admitted	4914	4
admitting	17927	1
adopt	11092	6
adopted	4233	19
adopting	16151	2
adoption	9886	10
adorable	23677	2
adorned	19189	2
ads	14997	1
adult	4639	9
adultery	29169	1
adulthood	20480	2
adults	6001	6
advance	5083	16
advanced	3935	16
advances	9849	5
advancing	10787	4
advantage	5056	17
advantages	12637	7
advent	13896	1
adventures	7357	1
adversary	27248	1
advertised	17099	1
advertising	6475	5
advice	6040	10
advise	18012	1
advised	9449	3
adviser	11747	4
advisers	24205	3
advising	23875	1
advisor	8619	10
advisors	18934	1
advisory	7319	1
advocacy	12288	3
aerial	9682	7
aesthetic	12465	2
aesthetics	20749	1
affair	6771	5
affairs	3821	12
affect	7461	1
affected	5360	14
affecting	12473	2
affection	12242	1
affiliated	6989	1
affiliation	12912	1
affinity	16730	1
afford	8984	2
affordable	15184	1
afraid	4452	3
african	3060	13
aft	16638	8
after	2044	465
aftermath	10530	5
afternoon	5027	22
afterward	9707	3
afterwards	5728	11
again	2153	78
against	2114	179
age	2287	41
aged	4793	6
agencies	6736	7
agenda	11376	1
agent	4005	9
agents	6074	7
aggravated	25817	1
aggregator	24089	1
aggression	14974	1
aggressive	9376	4
aggressively	24663	5
agile	29003	1
ago	3283	3
agree	5993	3
agreed	3530	31
agreeing	16191	3
agreement	3820	8
agreements	10540	1
agrees	10217	6
agricultural	4910	6
agriculture	5237	5
aground	29406	2
ahead	3805	21
aid	4681	27
aide	14895	3
aided	11553	5
aids	8387	1
aim	6614	2
aimed	6461	5
aims	8704	1
ain	7110	2
air	2250	62
airborne	10519	37
aircraft	2948	68
aired	4836	3
airfield	9087	9
airfields	25278	3
airing	10499	1
airlift	20019	2
airlines	7608	2
airplay	15341	2
airport	3199	19
airspace	29357	1
aka	9875	1
akin	17793	1
album	2201	130
albums	4042	20
alcohol	6544	1
alcoholic	14813	1
alcoholism	25519	1
alert	9499	2
alerted	22333	2
algorithms	13792	1
alien	7344	2
aligned	13115	1
alignment	12139	1
alive	4142	18
all	2035	290
alleged	6884	5
allegedly	9382	2
allegiance	14588	4
alleviate	24251	3
alley	8975	2
alliance	4707	1
allies	6956	12
alligator	28833	1
allocation	16169	2
allow	3499	18
allowed	3039	46
allowing	4352	24
allows	4473	10
alloy	17564	1
ally	9698	3
almost	2471	43
alone	2894	11
along	2247	131
alongside	4077	16
aloud	12575	1
alpha	6541	3
alphabet	12440	1
already	2525	36
also	2036	495
altar	9216	1
alter	11477	2
altered	8776	6
alternate	6585	1
alternative	4522	9
alternatively	14084	5
alternatives	15955	4
although	2348	135
altitude	7998	1
altogether	10462	5
always	2467	28
am	2572	8
amalgamated	17143	2
amassed	22151	1
amateur	5515	6
amazing	6429	3
ambassador	6059	39
ambassadors	20986	5
ambiguity	27637	5
ambiguous	20080	3
ambition	16290	3
ambitious	12479	1
ambulance	10771	1
ambush	15283	1
ambushed	22168	1
amended	13266	1
american	2137	233
amid	13463	1
amidst	17171	1
ammonia	25874	3
ammunition	9290	15
amnesty	16154	2
among	2426	60
amongst	5921	3
amount	3815	10
amounted	18779	5
amounts	8310	5
amphibious	16182	13
ample	20851	1
amplified	26986	1
an	2019	719
analogue	21800	1
analyses	16478	7
analysis	4106	12
analysts	18288	1
analytical	17826	1
analyze	17908	1
analyzed	16578	4
analyzing	20253	2
anarchy	26395	2
ancestor	13032	2
ancestors	10748	6
ancestral	14947	5
ancestry	11377	2
anchor	8133	2
anchorage	21086	1
anchored	14453	1
ancient	3418	26
and	1998	5793
anger	4963	7
angle	6466	49
anglican	9437	2
angrily	14136	2
angry	4854	6
angular	16108	1
animal	4111	11
animals	4176	17
animated	6579	3
animation	7284	1
ankle	10792	2
annexed	13291	1
anniversary	5315	7
announce	14970	2
announced	2623	44
announcement	8874	3
announcements	25674	1
announcer	14073	4
announces	17472	1
announcing	13856	1
annoying	15703	1
annual	3296	13
annually	6604	8
annum	28907	1
another	2178	106
answer	3437	3
answered	4660	1
answers	6998	3
antennae	28624	1
anthologies	25675	5
anthology	9637	9
anthropological	28395	2
anti	3424	25
anticipated	11436	7
anticipating	26481	2
anticipation	11162	2
antiquity	16433	1
anxiety	10089	2
any	2151	87
anybody	10334	4
anyone	3087	8
anything	2505	13
anytime	15933	2
anywhere	5973	4
apart	4237	7
apartments	9620	1
apologies	25380	1
apologized	17806	1
apostle	20121	1
apparatus	14709	3
apparent	6835	10
apparently	4593	8
appeal	5574	5
appear	3711	11
appearance	3311	37
appearances	3922	7
appeared	2596	42
appearing	6037	6
appears	3544	21
appetite	18923	1
applicable	12711	4
application	4646	2
applied	4162	6
applies	12033	1
apply	6611	2
applying	11243	2
appointed	2805	31
appointment	6098	4
appointments	14651	1
appreciate	9120	1
appreciated	12315	5
appreciation	12284	2
apprentice	13357	4
approach	3921	28
approached	5411	11
approaches	8107	5
approaching	8455	9
appropriate	6413	6
appropriated	29223	1
appropriately	23263	1
approval	6226	4
approve	14300	1
approved	4844	8
approximate	15796	2
approximately	3155	32
aquatic	13582	17
arbitrary	15275	1
arbitration	18010	1
arc	8115	6
arch	7905	3
archaeological	7611	12
archaeologists	19254	4
archbishop	6507	13
archdeacon	21742	5
arched	9194	2
arches	13540	3
archipelago	13888	6
architect	4944	12
architects	8160	17
architectural	6549	5
architecture	4294	8
archival	22796	2
archived	9749	1
are	2024	524
area	2181	141
areas	2752	47
arena	5196	5
arenas	26434	1
argentine	8511	2
arguably	15835	2
argue	7475	3
argued	5275	3
argues	9251	15
arguing	9177	5
argument	6685	6
arguments	9918	1
arising	17707	1
aristocratic	19774	1
arm	2849	6
armament	14410	16
armed	4273	26
armenian	7508	3
armies	8749	9
armistice	19125	5
armor	8177	52
armored	10612	33
armour	12371	43
armoured	11104	33
arms	2608	6
army	2390	94
arose	10375	4
around	2105	107
arrange	13621	2
arranged	5412	9
arrangement	6512	6
arrangements	7565	1
arrest	6545	3
arrested	4727	11
arresting	28427	1
arrests	17615	3
arrival	5508	12
arrive	7180	7
arrived	3369	32
arrives	8480	6
arriving	7194	5
arrows	12563	2
arson	24912	1
artefacts	25762	1
arthritis	27641	1
article	3720	17
articulated	20742	1
artifacts	10471	3
artificial	7976	2
artillery	4893	33
artist	3063	19
artists	3324	15
arts	2840	17
artwork	8266	1
artworks	22000	1
as	2004	1605
ascending	22316	1
ascribed	28025	1
ash	6683	1
ashamed	14984	2
ashes	11289	1
ashore	16145	5
aside	4998	10
ask	3198	5
asked	2356	24
asking	4851	2
asks	5176	6
aspect	7814	5
aspects	5919	12
aspirations	22877	1
assassinated	16370	2
assassination	10102	4
assassins	18364	1
assault	6101	18
assaulted	17536	4
assaults	22664	4
assembled	9240	8
assembly	3320	14
assert	20865	2
asserted	13647	1
assertion	23617	1
asserts	19514	2
assess	14358	1
assessed	14155	3
assessing	20077	1
assessment	7667	3
asset	11412	1
assets	7045	3
assign	23911	1
assigned	4137	28
assignment	8775	7
assigns	24022	3
assist	6509	3
assistance	5375	6
assisted	7197	12
assists	8456	2
associate	5482	4
associated	3378	33
association	2523	29
associations	8924	2
assume	7868	2
assumed	5071	4
assumes	15980	1
assured	8916	1
asthma	26180	1
astonishing	26137	1
astonishment	23819	2
astronomer	15211	1
at	2012	1238
ate	8823	1
atheist	23503	1
athlete	8258	7
athletes	7576	9
athletics	6482	2
atlantic	4448	8
atmosphere	7224	3
atoll	22292	1
atom	13787	2
atoms	13353	1
atop	10234	2
atrocities	23482	1
attach	22476	2
attached	4987	15
attachment	14449	1
attack	2886	84
attacked	4457	38
attackers	17857	2
attacking	7866	17
attacks	4491	33
attain	18759	2
attained	12754	11
attaining	26615	2
attempt	3535	26
attempted	4692	29
attempting	7161	10
attempts	4740	18
attend	5463	6
attendance	5270	7
attended	3230	12
attending	7052	2
attends	23933	1
attention	3086	15
attested	18470	2
attitude	7729	4
attitudes	13818	1
attorney	4905	8
attorneys	16214	1
attract	9958	1
attracted	6296	8
attraction	8432	3
attractions	13051	1
attractive	8702	5
attracts	17771	2
attributed	7108	9
attributes	12332	1
auction	10470	2
audible	19525	1
audience	4378	19
audiences	9501	8
audio	5746	1
auditioned	23008	2
augmented	19335	2
augustine	14060	3
aunt	5916	2
auspices	20153	2
austrian	6161	38
authentic	14469	1
author	3166	9
authored	8786	2
authorised	19256	1
authoritarian	27246	1
authorities	4614	5
authority	3691	17
authorization	20104	3
authorized	9362	3
authors	6048	4
auto	8285	1
autobiographical	18534	1
autobiography	10828	1
automated	12978	1
automatic	6882	6
automobiles	19207	1
automotive	12945	1
autonomous	8392	1
autonomy	12645	1
autumn	7114	9
auxiliary	9830	5
avail	24608	1
availability	11343	3
available	2800	34
avant	14815	2
avenge	24896	1
avenues	20859	3
average	2779	28
averaged	11398	2
averaging	14985	1
aviation	5734	2
avoid	4468	10
avoided	9511	5
avoiding	9992	2
aw	22091	1
await	26751	1
awaited	19605	2
awaiting	15497	3
awarded	3018	14
aware	5204	9
awareness	7073	2
away	2185	56
awesome	12476	1
awoke	19179	1
axis	8123	4
aztec	25245	1
b	1038	32
baby	3336	10
back	2067	126
backbone	21505	2
backdrop	18876	1
backed	6153	3
background	4281	10
backgrounds	15406	1
backlash	25748	6
backs	10457	8
backseat	19978	1
backstage	20212	2
backup	10200	1
backwards	11043	1
backyard	16125	1
bad	2919	13
badge	10780	2
badly	6649	18
bag	4524	7
bags	8641	1
bail	15358	2
bait	17395	3
balance	5703	6
balanced	12042	2
balancing	20120	1
ball	3608	83
ballads	18456	2
ballot	10428	2
ballots	17069	4
bamboo	15216	1
banana	15212	1
band	2316	75
bands	4996	3
banging	22255	1
bangs	28490	1
banished	21319	1
bank	2924	33
bankers	25375	1
banking	8169	4
bankrupt	17482	1
banks	5085	4
banned	7917	5
banners	23562	2
banquet	19032	1
barangay	20937	2
barbed	25007	1
bare	6436	1
barely	4510	4
bargain	17113	2
barge	19398	1
barges	27712	1
barracks	10492	3
barrage	19359	3
barred	15605	2
barrel	8460	5
barrels	13826	5
barrier	8803	5
barriers	13500	1
bars	6963	5
basal	15191	8
basalt	26343	8
base	2918	52
based	2241	66
baseline	26163	1
baseman	18038	2
basement	8102	1
bases	7888	9
basic	3937	4
basics	24078	1
basin	6403	9
basins	22739	1
basis	3978	8
baskets	25946	1
bass	3321	4
bassist	9858	3
bastion	26829	1
batch	14108	2
bath	7198	2
bathroom	5723	2
battalions	10157	26
batter	23801	4
batteries	10274	13
battery	6046	15
batting	9640	1
battle	2645	116
battlefield	11686	2
battles	7465	14
battleship	17224	18
battleships	21327	32
bavarian	15097	3
bazaar	22774	1
be	2022	519
beach	3509	19
beaches	12212	7
beads	17530	3
beam	7504	3
beams	13110	3
bear	4562	5
bearing	7682	4
bearings	21714	1
bears	6468	5
beast	6841	3
beasts	15109	1
beat	3786	22
beaten	7854	1
beating	6012	9
beatles	11555	1
beats	10299	6
beautiful	3376	6
became	2150	170
because	2138	126
become	2468	51
becomes	4150	14
becoming	3352	22
bed	2793	3
bedroom	5010	7
beds	9705	2
been	2042	384
beer	5404	2
beetles	14538	1
before	2077	186
beforehand	25828	1
befriended	23386	1
beg	11693	1
began	2211	142
begged	12999	1
begging	12858	2
begin	4088	15
beginning	2927	32
begins	4269	19
begs	27591	1
begun	5625	14
behalf	6852	12
behavior	5248	2
beheaded	28923	2
behind	2369	53
being	2108	141
belgian	6995	4
belief	6772	12
believe	2903	8
believed	3373	35
believer	24591	1
believes	7164	8
believing	8929	6
belly	7579	4
belong	7141	2
belonged	6272	1
belonging	7495	2
belongings	20033	1
belongs	7460	1
below	2917	46
belt	5583	11
bench	6847	1
bending	14457	2
benefactor	27398	3
beneficial	15189	1
benefit	5770	3
benefited	19727	2
benefits	6666	3
benign	28378	1
bent	6260	2
beside	3875	3
besides	4661	4
besieged	17923	2
best	2190	118
bestowed	17398	3
bet	6655	1
better	2488	37
between	2090	181
beverages	21705	1
beyond	3458	16
bias	13827	6
biased	25352	2
biblical	10213	5
bicycle	10165	1
bicycles	21066	1
bid	7226	4
bidding	17534	1
big	2502	45
bigger	7046	2
biggest	5221	5
billion	4551	22
bills	8236	3
biographer	17121	1
biographies	22056	1
biography	8308	3
biplane	28686	1
bird	4743	8
birds	5055	1
birth	4182	4
birthday	5798	1
birthplace	14508	3
bit	2978	7
bitch	7743	1
biting	12344	3
bitter	8618	3
bitterly	19248	1
bizarre	13576	2
blacks	10823	1
blade	6085	2
blades	10491	1
blame	7499	4
blaming	24114	1
blanche	18158	1
bland	20857	2
blanket	8768	2
blankets	15019	1
blast	8479	3
blasted	18461	1
blaze	15347	1
blazing	17162	1
bleak	21657	4
bleeding	9524	2
blended	19803	1
blending	23293	1
bless	19994	1
blew	8682	3
blinded	20641	1
blindly	25734	1
bliss	13670	1
block	3796	25
blockade	15823	4
blocked	8534	5
blocking	10851	3
blocks	5991	12
blog	9927	1
blonde	9081	1
blood	2668	8
blow	6271	5
blowing	11221	2
blown	10676	5
blue	2630	8
blues	5132	2
blunt	14969	2
boarded	17383	2
boarding	9405	1
boards	7923	2
boat	4049	14
boats	6242	69
bodied	22549	1
bodies	4230	20
body	2303	38
bodyguards	25681	1
boiler	15635	3
boilers	20412	6
bomb	5968	8
bombardment	10400	6
bombed	18897	3
bomber	9472	4
bombers	10544	7
bombing	8647	12
bombs	9767	12
bond	5416	5
bonds	9547	2
bone	5923	10
bones	5944	25
bonus	6781	9
bonuses	29563	1
bony	22678	4
book	2338	44
booklet	19271	3
books	2808	9
boomed	28908	1
boost	12992	1
booths	27612	1
border	3675	7
borders	6645	3
bore	8501	3
boring	11771	6
born	2141	38
borne	15356	4
boroughs	21413	1
borrowed	11780	2
boss	5795	2
bosses	23029	1
botanist	17098	2
both	2119	195
bother	8572	1
bottle	5835	4
bottles	11015	1
bottom	3953	12
bought	4149	8
boulder	13264	1
boulders	22177	7
bounce	17523	3
bounced	13605	1
bouncing	16361	2
bound	5391	3
boundaries	7372	2
boundary	6192	4
bounded	10351	1
bounds	19202	2
bourbon	15477	2
bourgeois	22846	2
bout	10094	5
bow	6812	5
bowed	11489	1
bowling	9116	2
bowls	15220	1
boxes	8378	3
boy	2879	19
boys	3337	11
bp	17531	1
bra	11655	1
brain	4167	1
braking	24427	1
branch	3589	15
branched	21648	1
branches	5628	4
branching	23346	1
brand	4435	6
brands	9639	2
brawl	23244	3
brazilian	6142	4
breach	12510	4
breached	25769	2
breadth	25291	2
break	3338	23
breakdown	12554	1
breakers	24742	1
breaking	4911	11
breaks	7807	3
breakthrough	12687	5
breast	7388	1
breath	3052	1
breed	8843	2
bribe	26470	1
brick	5318	4
bricks	14219	2
bridge	2958	25
bridges	7346	7
brief	4766	11
briefly	4780	19
briefs	28760	1
brigades	14589	5
bright	4408	3
brightly	14224	1
brilliance	28850	2
brilliant	8235	1
bring	3288	22
bringing	5026	9
brings	7545	4
brink	20911	2
british	2329	189
brittle	24650	2
broad	5041	10
broadcast	3743	10
broadcaster	11995	4
broadcasters	18706	3
broadcasting	5062	2
broader	12368	2
broadly	13644	6
broke	3631	28
broken	3714	19
broker	20138	1
bronze	4421	5
brooding	28902	2
brother	2567	19
brotherhood	12865	1
brothers	3428	6
brought	2716	31
brow	8306	2
brown	2829	6
browning	18778	1
bruised	18618	1
brush	8248	4
brushes	22569	1
brutal	12077	1
brutally	23197	1
bubble	11957	1
buddhist	7992	3
budget	5166	8
buffer	17698	1
build	3857	15
building	2311	57
buildings	3121	23
builds	16473	1
built	2328	109
bulb	20581	1
bulbs	25548	2
bulgarian	7643	8
bulk	9625	7
bull	7087	1
bullets	10432	1
bump	16906	1
bundle	14012	1
burden	10859	5
burial	8940	7
burials	23109	4
buried	3950	15
burned	5296	10
burning	5255	2
burns	7641	3
burst	6532	1
bus	3902	9
buses	7793	1
busiest	20530	3
business	2449	16
businesses	5661	7
businessman	6883	2
businessmen	17353	1
bust	13950	1
busy	5697	1
but	2021	490
butterflies	15023	1
butterfly	9112	1
buy	4965	1
buyers	17394	1
buying	9343	1
buys	23311	1
buzz	12610	1
by	2011	1477
bye	9061	3
bypass	11826	10
bypassed	27539	1
ca	6187	2
cabaret	19685	7
cabinet	5239	2
cafeteria	16673	1
cage	7980	10
cake	9850	1
calculated	10174	4
calculation	17208	1
calendar	8094	2
caliber	15977	1
call	2655	7
called	2170	111
calling	4214	13
calls	4455	6
calm	5475	12
cambodian	24417	1
came	2234	81
cameo	12081	3
camera	4950	12
cameras	8629	1
camp	3409	8
campaign	3049	33
campaigning	18524	1
campaigns	8008	6
camps	7958	3
campus	3721	13
campuses	13696	1
can	2064	75
canadian	3010	10
canals	17263	4
canceled	13261	3
cancellation	16990	2
cancelled	8014	3
cancer	4456	3
candidate	4018	6
candidates	5347	5
candy	9485	1
cane	11942	1
cannabis	17985	3
cannon	8854	6
cannons	17138	4
canon	9330	1
canopy	14582	1
cantor	26519	1
canvas	10683	5
canyon	8399	2
capabilities	9859	2
capability	10673	4
capable	5214	15
capacity	3977	13
cape	4880	3
capital	3007	28
capitalism	16498	1
capped	13880	1
captain	2952	10
captive	12481	2
capture	5425	12
captured	4110	28
capturing	11847	7
car	2482	11
caravan	17184	1
carbon	6351	5
card	4003	4
cards	5329	2
care	2729	13
cared	8725	2
career	2476	70
careers	10922	3
careful	6176	3
carefully	5362	5
careless	23358	1
cares	14977	2
cargo	6636	6
carriage	9118	3
carried	3344	36
carrier	6839	11
carriers	11363	21
carries	7883	2
carry	4287	11
carrying	4755	12
cars	3765	5
cart	11122	2
cartoon	9476	5
carved	7844	13
carving	18441	3
cascade	16690	1
case	2553	37
cases	3572	14
cash	5356	2
casinos	27300	1
cast	3459	21
casting	9179	2
castles	15618	1
casts	23942	1
casual	10017	2
casualties	8664	20
casualty	19844	4
catalogue	10161	2
catalyst	16771	2
catastrophe	25539	1
catch	4608	2
catching	9105	3
categories	7236	2
category	4696	5
catholic	3234	10
caught	3236	15
cause	3426	10
caused	3303	59
causes	5320	8
causeway	23336	1
causing	4786	12
cautiously	15151	1
cavalry	5945	15
cavern	16679	1
cavity	17790	1
cd	3729	2
ce	8292	2
cease	13236	1
ceased	7024	3
ceasefire	26277	5
ceded	19705	5
ceiling	5894	6
ceilings	21098	1
celebrate	8439	1
celebrated	6334	5
celebrates	21566	3
celebration	7401	6
celebrities	12330	1
celebrity	8958	1
cell	3526	7
cello	10145	1
cells	4442	1
celtic	8730	1
cement	11297	5
cemeteries	20973	49
cemetery	4528	35
censorship	15657	1
census	2883	4
centenary	17705	2
center	2415	89
centered	8857	1
centers	6401	3
centimetres	13935	2
central	2430	64
centre	2803	38
centred	16441	1
centres	8941	3
centuries	4693	9
century	2301	63
ceo	5766	2
ceramic	14692	6
ceramics	17314	3
ceremonial	12961	3
ceremonies	10912	5
certain	3056	15
certainly	5121	1
certainty	15855	2
certification	10618	1
certified	7378	12
chain	4677	4
chair	3242	4
chaired	12282	1
chairman	3472	10
chairperson	19072	1
challenge	4119	18
challenged	8315	8
challenger	12932	1
challenges	7860	3
challenging	10368	1
chamber	4574	3
chamberlain	13904	1
chambers	8477	4
champion	3410	52
championships	3219	11
chance	3382	11
chances	9592	2
change	2689	30
changed	2904	21
changes	3431	18
changing	5278	4
channels	6833	1
chaos	8488	3
chaotic	19633	2
chapel	4970	2
chaplain	14011	4
chapter	3127	1
character	2839	36
characterised	17253	3
characteristic	8281	5
characteristics	6459	12
characterization	23191	1
characterized	7356	2
characters	3494	32
charcoal	18872	1
charge	3715	9
charged	5338	6
charges	5571	12
charging	13003	2
chariot	23507	2
charitable	11128	1
charity	5952	9
charm	11084	1
chart	3673	28
charted	12568	2
charter	6111	9
chartered	12443	2
charting	17918	1
charts	6093	6
chase	5252	3
chased	13303	2
cheap	10036	1
cheat	21910	1
checked	7039	1
checks	14148	1
cheek	5048	4
cheekbones	27181	1
cheeks	6029	13
cheese	8808	1
chemicals	12141	2
chemistry	6370	2
chemotherapy	27144	1
chest	3108	1
chicken	7975	2
chickens	21868	1
chief	2708	20
chiefly	15897	2
chiefs	9058	3
childbirth	27162	1
childhood	5593	2
childless	26983	2
children	2336	29
chilean	12091	3
chili	20238	1
chilled	23362	1
chinese	2822	61
chip	9090	1
chloride	19057	1
choice	3601	26
choices	9804	6
choke	16769	2
choose	5454	4
chooses	15867	3
choosing	10549	1
chorus	7165	2
chose	4900	11
chosen	4217	16
christian	3017	15
chronicles	11906	1
chronological	23472	1
chronology	17873	1
churches	5231	7
cinema	5988	2
cinematographer	19245	2
cinematography	16434	5
circle	4418	7
circles	7925	3
circuit	4984	1
circuits	13782	2
circular	8206	6
circulated	17640	3
circulating	22458	3
circulation	9141	11
circumstances	6214	8
circus	9661	3
citadel	15364	2
cited	6563	10
cites	17248	3
cities	3655	15
citing	8951	6
citizens	4480	5
citizenship	9068	5
citrus	20418	3
civic	8388	2
civil	2942	43
civilian	6831	9
civilians	9272	18
civilization	10585	9
clade	21697	12
claim	4366	8
claimed	3555	22
claiming	6815	3
claims	4447	16
clan	6338	2
clandestine	24450	1
clarified	20485	2
clarity	15563	2
clash	13249	3
clashed	22600	1
clashes	17783	10
class	2465	68
classes	4280	4
classic	4438	14
classical	4556	4
classics	10002	2
classification	5579	11
classified	6219	25
classify	26268	3
classmate	23175	1
classmates	19846	1
classrooms	12463	1
clause	11075	5
clawed	22544	1
claws	10702	6
clay	5726	1
clean	4550	6
cleaning	9344	1
clear	3154	30
cleared	5985	6
clearer	24509	1
clearing	8430	6
clearly	4415	14
clergy	11646	3
cleric	29307	2
clerical	23106	1
clerk	7805	1
clerks	26706	1
clever	12266	1
client	7396	2
clients	7846	2
climate	4785	4
climates	24734	3
climax	14463	1
climb	7105	1
climbed	6589	3
climbing	8218	1
clinch	29119	1
clinched	18311	1
clip	12528	6
clipped	20144	1
clock	5119	5
clockwise	22839	1
clone	17598	3
clones	24418	1
close	2485	49
closed	2701	17
closely	4876	14
closer	3553	12
closes	14572	1
closest	7541	6
closet	9346	1
closing	5494	4
closure	8503	3
cloth	8416	1
clothes	4253	4
clothing	5929	5
cloud	6112	16
clouded	26761	1
clouds	8044	3
clubs	4184	5
clues	15774	1
cluster	9324	6
clutch	15357	2
clutching	14197	1
cm	4642	15
coach	2873	60
coached	8868	3
coaching	7748	17
coal	5317	6
coarse	20392	1
coast	3023	34
coastal	5780	22
coastline	15458	1
coasts	20266	2
coated	15026	1
cocoa	22940	1
coconut	16027	2
code	3642	3
codes	9537	1
coherent	18920	1
coiled	24599	1
coin	9226	2
coinage	25396	1
coined	13279	2
coins	7824	3
cold	3147	15
colder	21399	1
coldly	24745	2
collaborated	8678	2
collaboration	5792	2
collaborators	21315	2
collapse	7859	6
collapsed	7798	8
collapsing	22724	2
colleague	11729	4
colleagues	8628	3
collect	8145	7
collected	5067	9
collecting	9334	2
collection	3074	10
collections	6407	7
collective	7268	4
collectively	13643	2
collector	10018	1
collectors	14256	2
collects	17427	2
college	2267	38
colleges	6667	5
collegiate	9234	6
collided	17745	3
colombian	13598	2
colon	16844	1
colonial	5336	17
colonies	8355	1
colonization	18962	1
colony	5701	2
color	3609	3
colored	6910	1
colors	6087	5
colossal	29523	68
colour	6120	2
coloured	11401	3
colours	8604	2
columbian	25882	1
column	5930	26
columns	7753	8
combat	4337	36
combatants	26622	1
combination	5257	9
combinations	14930	1
combine	11506	2
combined	4117	27
combines	13585	1
combining	11566	4
combustion	16513	1
come	2272	37
comedic	21699	3
comedies	22092	1
comedy	4038	5
comes	3310	10
comet	15699	1
comfortable	6625	2
comfortably	18579	1
comic	5021	1
comical	29257	1
coming	2746	23
command	3094	74
commanded	6311	13
commander	3474	43
commanders	11437	5
commanding	7991	5
commando	15054	5
commands	10954	2
commemorate	13415	8
commemorated	19131	11
commemorates	25530	1
commemorating	20646	6
commemoration	22377	6
commemorative	17524	1
commenced	8420	6
commencement	20561	1
commended	22429	2
comment	7615	3
commentaries	21241	2
commentary	8570	15
commentator	12268	2
commentators	15957	4
commented	7034	9
commenting	15591	3
comments	7928	7
commerce	6236	10
commercial	3293	17
commercially	11088	1
commission	3222	90
commissioned	4837	13
commissioning	21612	1
commit	10797	2
commitment	8426	4
commitments	17786	1
committed	5462	7
committee	2837	20
committees	9528	1
commodities	21955	1
commodity	19502	1
common	2691	22
